name,icao,phone,belongs to,description,page
Manchester Barton,EGCB,0161 789 1362,Administration and Operations,Administration and Operations,https://atcadvisor.com/manchester-barton-atc-egcb
Marham,EGYM,01760 337261 extn. 4949,Operations Centre,Operations Centre,https://atcadvisor.com/marham-egym
Marshland Airfield,EGSI,no number,,,https://atcadvisor.com/marshland-airfield-atc-egsi
Maypole Airfield,EGHB,no number,,,https://atcadvisor.com/maypole-airfield-atc-eghb
Merryfield,EGDI,01460 72301,Base Ops,Base Ops,https://atcadvisor.com/merryfield-egdi
Middle Wallop,EGVP,01264 781584,Base Ops,Base Ops,https://atcadvisor.com/middle-wallop-egvp
Middle Wallop,EGVP,01264 784145,Ops,Ops,https://atcadvisor.com/middle-wallop-egvp
Mildenhall,EGUN,01638 547777/544130,Base Ops,Base Ops,https://atcadvisor.com/mildenhall-egun
Mona,EGOQ,01407 762551,Base Ops,Base Ops,https://atcadvisor.com/mona-egoq
Mount Pleasant,EGYP,500 42022,Base Ops,Base Ops,https://atcadvisor.com/mount-pleasant-egyp
Nesscliffe Camp Helipad,EGEZ,no number,,,https://atcadvisor.com/nesscliffe-camp-helipad-atc-egez
Netheravon,EGDN,01980 674321,Base Ops,Base Ops,https://atcadvisor.com/netheravon-egdn
Netherthorpe,EGNF,01909 475233,,,https://atcadvisor.com/netherthorpe-atc-egnf
Newcastle,EGNT,0191 214 3255,Airport Authority,Airport Authority,https://atcadvisor.com/newcastle-atc-egnt
Newcastle,EGNT,0871 882 1121,Airport Authority,Airport Authority,https://atcadvisor.com/newcastle-atc-egnt
Newcastle,EGNT,0191 214 8130,ATC,ATC,https://atcadvisor.com/newcastle-atc-egnt
Newmarket Heath Airfield,EGSW,no number,,,https://atcadvisor.com/newmarket-heath-airfield-atc-egsw
Newquay,EGHQ,01637 861301,ATC,ATC,https://atcadvisor.com/newquay-atc-eghq
Newquay,EGHQ,01637 860551,Executive and GA Full Handling PPR,Executive and GA Full Handling PPR,https://atcadvisor.com/newquay-atc-eghq
Newquay,EGHQ,01637 861744,General Aviation PPR,General Aviation PPR,https://atcadvisor.com/newquay-atc-eghq
Newtownards,EGAD,028 9181 3327,,,https://atcadvisor.com/newtownards-atc-egad
North Coates,EGYO,no number,,,https://atcadvisor.com/north-coates-atc-egyo
North Ronaldsay,EGEN,01856 873535,,,https://atcadvisor.com/north-ronaldsay-atc-egen
North Weald Airfield,EGSX,01992 564200,,,https://atcadvisor.com/north-weald-airfield-atc-egsx
Northampton/Sywell,EGBK,01604 801620,Administration,Administration,https://atcadvisor.com/northampton-sywell-atc-egbk
Northampton/Sywell,EGBK,01604 801630,A/G,A/G,https://atcadvisor.com/northampton-sywell-atc-egbk
Northolt,EGWU,020 8833 8123,Base Ops,Base Ops,https://atcadvisor.com/northolt-egwu
Northolt,EGWU,020 8833 8228,ATC,ATC,https://atcadvisor.com/northolt-egwu
Northolt,EGWU,0208 8452300,,,https://atcadvisor.com/northolt-egwu
Norwich,EGSH,01603 411923,Administration,Administration,https://atcadvisor.com/norwich-atc-egsh
Norwich,EGSH,01603 420658,Operations,Operations,https://atcadvisor.com/norwich-atc-egsh
Norwich,EGSH,07921 055373,Terminal Services Manager,Terminal Services Manager,https://atcadvisor.com/norwich-atc-egsh
Norwich,EGSH,01603 420675,Customer Services,Customer Services,https://atcadvisor.com/norwich-atc-egsh
Norwich,EGSH,01603 420641,ATC,ATC,https://atcadvisor.com/norwich-atc-egsh
Norwich,EGSH,01603 420641,ATC,ATC,https://atcadvisor.com/norwich-atc-egsh
Nottingham,EGBN,0115 9815050,,,https://atcadvisor.com/nottingham-atc-egbn
Oaksey Park Airfield,EGTW,01666 577130,,,https://atcadvisor.com/oaksey-park-airfield-atc-egtw
Oban,EGEO,01631 572910,General Enquiries/PPR,General Enquiries/PPR,https://atcadvisor.com/oban-atc-egeo
Odiham,EGVO,01256 702151,Base Ops,Base Ops,https://atcadvisor.com/odiham-egvo
Old Buckenham,EGSV,01953 860806,,,https://atcadvisor.com/old-buckenham-atc-egsv
Old Warden,EGTH,01767 627933,,,https://atcadvisor.com/old-warden-atc-egth
Old Warden,EGTH,01767 627918,Tower when manned,Tower when manned,https://atcadvisor.com/old-warden-atc-egth
Oxford,EGTK,01865 290650,ATC,ATC,https://atcadvisor.com/oxford-atc-egtk
Oxford,EGTK,01865 290660,Operations,Operations,https://atcadvisor.com/oxford-atc-egtk
Oxford,EGTK,01865 290600,Switchboard,Switchboard,https://atcadvisor.com/oxford-atc-egtk
Papa Westray,EGEP,01856 873535,,,https://atcadvisor.com/papa-westray-atc-egep
Pembrey,EGFP,01554 891534,,,https://atcadvisor.com/pembrey-atc-egfp
Penzance Heliport,EGHK,01736 780828,Heliport,Heliport,https://atcadvisor.com/penzance-heliport-atc-eghk
Perranporth Airfield,EGTP,01872 552856,,,https://atcadvisor.com/perranporth-airfield-atc-egtp
Perth/Scone,EGPT,01738 551631,Radio Room,Radio Room,https://atcadvisor.com/perth-scone-atc-egpt
Perth/Scone,EGPT,01738 550003,Admin,Admin,https://atcadvisor.com/perth-scone-atc-egpt
Peterborough/Conington,EGSF,01487 834161,,,https://atcadvisor.com/peterborough-conington-atc-egsf
Peterborough/Sibson Airport,EGSP,01832 280634,,,https://atcadvisor.com/peterborough-sibson-airport-atc-egsp
Peterhead Heliport,EGPS,no number,,,https://atcadvisor.com/peterhead-heliport-atc-egps
Popham Airfield,EGHP,01256 397733,,,https://atcadvisor.com/popham-airfield-atc-eghp
Portland Heliport,EGDP,01305 701702,Admin,Admin,https://atcadvisor.com/rnas-portland-heliport-atc-egdp
Portland Heliport,EGDP,07942 350235,Admin,Admin,https://atcadvisor.com/rnas-portland-heliport-atc-egdp
Portland Heliport,EGDP,01305 700001,Air Ground / PPR,Air Ground / PPR,https://atcadvisor.com/rnas-portland-heliport-atc-egdp
Predannack,EGDO,01326 221221,Base Ops,Base Ops,https://atcadvisor.com/predannack-egdo
Prestwick,EGPK,01292 511107,ATC Operations,ATC Operations,https://atcadvisor.com/gannet-egpk
Prestwick,EGPK,01292 511108,,,https://atcadvisor.com/gannet-egpk
RAF Abingdon,EGUD,Check website,,,https://atcadvisor.com/raf-abingdon-atc-egud
RAF Boulmer,EGQM,01665 604760,,,https://atcadvisor.com/raf-boulmer-atc-egqm
RAF Henlow (flying ended Jul-2020),EGWE,01462 851515,,,https://atcadvisor.com/raf-henlow-flying-ends-jul-2020-atc-egwe
RAF Kinloss (see Lossiemouth),EGQK,01343 812121,,,https://atcadvisor.com/raf-kinloss-see-lossiemouth-atc-egqk
RAF Linton-on-Ouse,EGXU,01347 848261,,,https://atcadvisor.com/raf-linton-on-ouse-atc-egxu
RAF Saint Athan,EGDX,01446 798717,,,https://atcadvisor.com/raf-saint-athan-atc-egdx
RAF Scampton,EGXP,01522 730376,,,https://atcadvisor.com/raf-scampton-atc-egxp
RAF Sculthorpe,EGUP,no number,,,https://atcadvisor.com/raf-sculthorpe-atc-egup
RAF Spadeadam,EGOM,016977 47321,,,https://atcadvisor.com/raf-spadeadam-atc-egom
RAF Wyton,EGUY,no number,,,https://atcadvisor.com/raf-wyton-atc-eguy
Redhill,EGKR,01737 823377,Administration,Administration,https://atcadvisor.com/redhill-atc-egkr
Redhill,EGKR,01737 821802,ATC,ATC,https://atcadvisor.com/redhill-atc-egkr
Redhill,EGKR,01737 821805,Fuel,Fuel,https://atcadvisor.com/redhill-atc-egkr
Redhill,EGKR,01737 822947,ATIS available H24,ATIS available H24,https://atcadvisor.com/redhill-atc-egkr
Retford/Gamston,EGNE,01777 838521,,,https://atcadvisor.com/retford-gamston-atc-egne
Rochester,EGTO,01634 869969,ATC/Manager/Admin,ATC/Manager/Admin,https://atcadvisor.com/rochester-atc-egto
Royal Marines Base Chivenor,EGDC,Check website,,,https://atcadvisor.com/royal-marines-base-chivenor-atc-egdc
Sanday,EGES,01856 873535,,,https://atcadvisor.com/sanday-atc-eges
Sandtoft,EGCF,01427 872034,,,https://atcadvisor.com/sandtoft-atc-egcf
Scatsta,EGPM,01806 244300,Administration,Administration,https://atcadvisor.com/scatsta-atc-egpm
Scatsta,EGPM,01806 244370,ATC,ATC,https://atcadvisor.com/scatsta-atc-egpm
Scatsta,EGPM,01806 244386,Assistant,Assistant,https://atcadvisor.com/scatsta-atc-egpm
Scilly Isles/St Mary's,EGHE,01720 424335,,,https://atcadvisor.com/scilly-isles-st-marys-atc-eghe
Seething Airfield,EGSJ,01508 550453,,,https://atcadvisor.com/seething-airfield-atc-egsj
Shawbury,EGOS,01939 250551,Base Ops,Base Ops,https://atcadvisor.com/shawbury-egos
Sherburn-in-elmet,EGCJ,01977 682674,,,https://atcadvisor.com/sherburn-in-elmet-atc-egcj
Shipdham Airfield,EGSA,01953 882187,,,https://atcadvisor.com/shipdham-airfield-atc-egsa
Shobdon,EGBS,01568 708369,,,https://atcadvisor.com/shobdon-atc-egbs
Shoreham,EGKA,01273 467377,ATS,ATS,https://atcadvisor.com/shoreham-atc-egka
Silverstone Heliport,EGBV,01869 278244,,,https://atcadvisor.com/silverstone-heliport-atc-egbv
Skegness (Ingoldmells) Aerodrome,EGNI,no number,,,https://atcadvisor.com/skegness-ingoldmells-aerodrome-atc-egni
Sleap,EGCV,01939 232882,Airfield Operations Office,Airfield Operations Office,https://atcadvisor.com/sleap-atc-egcv
Southampton,EGHI,023 80627102,Airport Control Centre,Airport Control Centre,https://atcadvisor.com/southampton-atc-eghi
Southend,EGMC,01702 538500,Switchboard,Switchboard,https://atcadvisor.com/southend-atc-egmc
Southend,EGMC,01702 538420,ATC,ATC,https://atcadvisor.com/southend-atc-egmc
Southend,EGMC,01702 538401,AFS,AFS,https://atcadvisor.com/southend-atc-egmc
Southend,EGMC,01702 538600,London Southend Jet Centre,London Southend Jet Centre,https://atcadvisor.com/southend-atc-egmc
Southend,EGMC,01702 538578,Operations/Commercial aviation handling,Operations/Commercial aviation handling,https://atcadvisor.com/southend-atc-egmc
St Athan,EGSY,01446 243901 Aerodrome Manager,,,https://atcadvisor.com/st-athan-atc-egsy
St Athan,EGSY,01446 243940 ATC,,,https://atcadvisor.com/st-athan-atc-egsy
St Athan,EGSY,01446 243943 ATIS,,,https://atcadvisor.com/st-athan-atc-egsy
Stapleford,EGSG,01708 688380,,,https://atcadvisor.com/stapleford-atc-egsg
Stornoway,EGPO,01851 702256,Airport Switchboard,Airport Switchboard,https://atcadvisor.com/stornoway-atc-egpo
Stornoway,EGPO,01851 707444,ATIS,ATIS,https://atcadvisor.com/stornoway-atc-egpo
Stornoway,EGPO,01851 703026,Fuel - North Air,Fuel - North Air,https://atcadvisor.com/stornoway-atc-egpo
Stornoway,EGPO,01851 707406,Admin,Admin,https://atcadvisor.com/stornoway-atc-egpo
Stronsay,EGER,01856 873535,,,https://atcadvisor.com/stronsay-atc-eger
Strubby Airfield,EGCG,07836 596921,,,https://atcadvisor.com/strubby-airfield-atc-egcg
Strubby Airfield,EGCG,07708 154890,,,https://atcadvisor.com/strubby-airfield-atc-egcg
Sturgate Airfield,EGCS,01427 838305,,,https://atcadvisor.com/sturgate-airfield-atc-egcs
Sumburgh,EGPB,01950 461000,HIAL,HIAL,https://atcadvisor.com/sumburgh-atc-egpb
Sumburgh,EGPB,01950 461008,ATC,ATC,https://atcadvisor.com/sumburgh-atc-egpb
Swansea,EGFH,01792 687042,ATC and Admin,ATC and Admin,https://atcadvisor.com/swansea-atc-egfh
Syerston,EGXY,01400 264520,,,https://atcadvisor.com/syerston-egxy
Tatenhill,EGBM,01283 575283,,,https://atcadvisor.com/tatenhill-atc-egbm
Teesside International,EGNV,01325 332811,,,https://atcadvisor.com/teesside-international-atc-egnv
Teesside International,EGNV,01325 331020,ATC,ATC,https://atcadvisor.com/teesside-international-atc-egnv
Tern Hill,EGOE,01630 647551,Base Ops,Base Ops,https://atcadvisor.com/tern-hill-egoe
Thruxton,EGHO,01264 772352,A/G,A/G,https://atcadvisor.com/thruxton-atc-egho
Thruxton,EGHO,01264 772171,Administration,Administration,https://atcadvisor.com/thruxton-atc-egho
Thurrock Airfield,EGMT,no number,,,https://atcadvisor.com/thurrock-airfield-atc-egmt
Tilstock Airfield,EGCT,no number,,,https://atcadvisor.com/tilstock-airfield-atc-egct
Tiree,EGPU,01879 220456,,,https://atcadvisor.com/tiree-atc-egpu
Topcliffe,EGXZ,01400 264520,,,https://atcadvisor.com/topcliffe-egxz
Tresco Heliport,EGHT,01720 424109,Tresco Heliport,Tresco Heliport,https://atcadvisor.com/tresco-heliport-atc-eght
Truro Aerodrome,EGHY,01872 560488,,,https://atcadvisor.com/truro-aerodrome-atc-eghy
Turweston Aerodrome,EGBT,01280 705400,,,https://atcadvisor.com/turweston-aerodrome-atc-egbt
Unst Airport,EGPW,no number,,,https://atcadvisor.com/unst-airport-atc-egpw
Upavon,EGDJ,01980 618484,Base Ops,Base Ops,https://atcadvisor.com/upavon-egdj
Valley,EGOV,01407 762631,Base Ops,Base Ops,https://atcadvisor.com/valley-egov
Valley,EGOV,01407 762241,,,https://atcadvisor.com/valley-egov
Waddington,EGXW,01522 726221,Base Ops,Base Ops,https://atcadvisor.com/waddington-egxw
Walney,EGNL,01229 474087,ATS/Flight Operations,ATS/Flight Operations,https://atcadvisor.com/walney-atc-egnl
Walney,EGNL,01229 476678,,,https://atcadvisor.com/walney-atc-egnl
Warton,EGNO,01772 633333,Switchboard,Switchboard,https://atcadvisor.com/warton-egno
Warton,EGNO,01772 852374,ATC and PPR for training flights,ATC and PPR for training flights,https://atcadvisor.com/warton-egno
Warton,EGNO,01772 634330,Civil Ops and PPR for visiting aircraft,Civil Ops and PPR for visiting aircraft,https://atcadvisor.com/warton-egno
Warton,EGNO,01772 856060,ATIS,ATIS,https://atcadvisor.com/warton-egno
Wattisham,EGUW,01473 620000,Base Ops,Base Ops,https://atcadvisor.com/wattisham-eguw
Wellesbourne Mountford,EGBW,01789 842007,Administration,Administration,https://atcadvisor.com/wellesbourne-mountford-atc-egbw
Wellesbourne Mountford,EGBW,01789 842000,Tower,Tower,https://atcadvisor.com/wellesbourne-mountford-atc-egbw
Welshpool,EGCW,01938 555560,,,https://atcadvisor.com/welshpool-atc-egcw
West Wales/Aberporth,EGFA,01239 811100,,,https://atcadvisor.com/west-wales-aberporth-atc-egfa
Weston On The Green,EGTG,01869 347200,Base Ops,Base Ops,https://atcadvisor.com/weston-on-the-green-egtg
Weston On The Green,EGTG,01869 343343,,,https://atcadvisor.com/weston-on-the-green-egtg
Westray,EGEW,01856 873535,,,https://atcadvisor.com/westray-atc-egew
Wethersfield Air Base,EGVT,no number,,,https://atcadvisor.com/wethersfield-air-base-atc-egvt
Whalsay Airport,EGEH,Check website,,,https://atcadvisor.com/whalsay-airport-atc-egeh
White Waltham,EGLM,01628 823272,,,https://atcadvisor.com/white-waltham-atc-eglm
Wick,EGPC,01955 602215,Administration,Administration,https://atcadvisor.com/wick-atc-egpc
Wick,EGPC,01955 607583,ATC,ATC,https://atcadvisor.com/wick-atc-egpc
Wick,EGPC,01955 607579,SATCO,SATCO,https://atcadvisor.com/wick-atc-egpc
Wick,EGPC,01955 607596,ATIS,ATIS,https://atcadvisor.com/wick-atc-egpc
Wickenby,EGNW,01673 885000,,,https://atcadvisor.com/wickenby-atc-egnw
Wickenby,EGNW,07377 601802,Aerodrome Mobile,Aerodrome Mobile,https://atcadvisor.com/wickenby-atc-egnw
Wittering,EGXT,01780 417000,Base Ops,Base Ops,https://atcadvisor.com/wittering-egxt
Wolverhampton/Halfpenny Green,EGBO,01384 221350,Airport Office,Airport Office,https://atcadvisor.com/wolverhampton-halfpenny-green-atc-egbo
Wolverhampton/Halfpenny Green,EGBO,01384 221378,ATC,ATC,https://atcadvisor.com/wolverhampton-halfpenny-green-atc-egbo
Woodvale,EGOW,01704 872211,Base Ops,Base Ops,https://atcadvisor.com/woodvale-egow
Woodvale,EGOW,01704 872287,Option 2 for ATC,Option 2 for ATC,https://atcadvisor.com/woodvale-egow
Wycombe Air Park/Booker,EGTB,01494 529261,,,https://atcadvisor.com/wycombe-air-park-booker-atc-egtb
Yeovil/Westland,EGHG,01935 475222,,,https://atcadvisor.com/yeovil-westland-atc-eghg
Yeovilton,EGDY,01935 840565,Base Ops,Base Ops,https://atcadvisor.com/yeovilton-egdy
HMP ALTCOURSE,,0151 522 2000,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/altcourse-prison
HMP ASHFIELD,,0117 303 8000,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/ashfield-prison
HMP ASKHAM GRANGE,,01904 772 000,HMPPS,Switchboard,https://www.gov.uk/guidance/askham-grange-prison
HMP AYLESBURY,,01296 444 000,HMPPS,Switchboard,https://www.gov.uk/guidance/aylesbury-yoi
HMP BEDFORD,,01234 373 000,HMPPS,Switchboard,https://www.gov.uk/guidance/bedford-prison
HMP BELMARSH,,020 8331 4400,HMPPS,Switchboard,https://www.gov.uk/guidance/belmarsh-prison
HMP BERWYN,,01978 523 000,HMPPS,Switchboard,https://www.gov.uk/guidance/berwyn-prison
HMP BIRMINGHAM,,0121 598 8000,HMPPS,Switchboard,https://www.gov.uk/guidance/birmingham-prison
HMP BRINSFORD,,01902 533 450,HMPPS,Switchboard,https://www.gov.uk/guidance/brinsford-prison
HMP BRISTOL,,0117 372 3100,HMPPS,Switchboard,https://www.gov.uk/guidance/bristol-prison
HMP BRIXTON,,020 8588 6000,HMPPS,Switchboard,https://www.gov.uk/guidance/brixton-prison
HMP BRONZEFIELD,,01784 425690,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/bronzefield-prison
HMP BUCKLEY HALL,,01706 514 300,HMPPS,Switchboard,https://www.gov.uk/guidance/buckley-hall-prison
HMP BULLINGDON,,01869 353 100,HMPPS,Switchboard,https://www.gov.uk/guidance/bullingdon-prison
HMP BURE,,01603 326 000,HMPPS,Switchboard,https://www.gov.uk/guidance/bure-prison
HMP CARDIFF,,029 2092 3100,HMPPS,Switchboard,https://www.gov.uk/guidance/cardiff-prison
HMP CHANNINGS WOOD,,01803 814600,HMPPS,Switchboard,https://www.gov.uk/guidance/channings-wood-prison
HMP CHELMSFORD,,01245 552 000,HMPPS,Switchboard,https://www.gov.uk/guidance/chelmsford-prison
HMP COLDINGLEY,,01483 344 300,HMPPS,Switchboard,https://www.gov.uk/guidance/coldingley-prison
HMP DARTMOOR,,no number,,,https://www.gov.uk/guidance/dartmoor-prison
HMP DEERBOLT,,01833 633 200,HMPPS,Switchboard,https://www.gov.uk/guidance/deerbolt-prison
HMP DONCASTER,,01302 760 870,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/doncaster-prison
HMP DOVEGATE,,01283 829400,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/dovegate-prison
HMP DOWNVIEW,,0208 196 6300,HMPPS,Switchboard,https://www.gov.uk/guidance/downview-prison
HMP DRAKE HALL,,01785 774 217,HMPPS,Switchboard,https://www.gov.uk/guidance/drake-hall-prison
HMP DURHAM,,01913 323 400,HMPPS,Switchboard,https://www.gov.uk/guidance/durham-prison
HMP EAST SUTTON PARK,,01622 785 000,HMPPS,Switchboard,https://www.gov.uk/guidance/east-sutton-park-prison
HMP EASTWOOD PARK,,01454 382 100,HMPPS,Switchboard,https://www.gov.uk/guidance/eastwood-park-prison
HMP ELMLEY,,01795 802 000,HMPPS,Switchboard,https://www.gov.uk/guidance/elmley-prison
HMP ERLESTOKE,,01380 814 250,HMPPS,Switchboard,https://www.gov.uk/guidance/erlestoke-prison
HMP EXETER,,01392 415 650,HMPPS,Switchboard,https://www.gov.uk/guidance/exeter-prison
HMP FEATHERSTONE,,01902 703 000,HMPPS,Switchboard,https://www.gov.uk/guidance/featherstone-prison
HMP FELTHAM,,020 8844 5000,HMPPS,Switchboard,https://www.gov.uk/guidance/feltham-yoi
HMP FIVE WELLS,,01933 718888,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/five-wells-prison
HMP FOREST BANK,,0161 925 7000,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/forest-bank-prison
HMP FOSSE WAY,,0116 216 2656,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/fosse-way-prison
HMP FOSTON HALL,,01283 584 300,HMPPS,Switchboard,https://www.gov.uk/guidance/foston-hall-prison
HMP FRANKLAND,,0191 376 5048,HMPPS,Switchboard,https://www.gov.uk/guidance/frankland-prison
HMP FULL SUTTON,,01759 475 100,HMPPS,Switchboard,https://www.gov.uk/guidance/full-sutton-prison
HMP GARTH,,01772 443 300,HMPPS,Switchboard,https://www.gov.uk/guidance/garth-prison
HMP GARTREE,,01858 426 600,HMPPS,Switchboard,https://www.gov.uk/guidance/gartree-prison
HMP GRENDON,,01296 445 000,HMPPS,Switchboard,https://www.gov.uk/guidance/grendon-prison
HMP GUYS MARSH,,01747 856 400,HMPPS,Switchboard,https://www.gov.uk/guidance/guys-marsh-prison
HMP HEWELL,,01527 785 000,HMPPS,Switchboard,https://www.gov.uk/guidance/hewell-prison
HMP HIGH DOWN,,020 7147 6300,HMPPS,Switchboard,https://www.gov.uk/guidance/high-down-prison
HMP HIGHPOINT,,01440 743 100,HMPPS,Switchboard,https://www.gov.uk/guidance/highpoint-prison
HMP HINDLEY,,01942 663 100,HMPPS,Switchboard,https://www.gov.uk/guidance/hindley-prison
HMP HOLME HOUSE,,01642 744 000,HMPPS,Switchboard,https://www.gov.uk/guidance/holme-house-prison
HMP HULL,,01482 282 200,HMPPS,Switchboard,https://www.gov.uk/guidance/hull-prison
HMP HUMBER,,01430 273 000,HMPPS,Switchboard,https://www.gov.uk/guidance/humber-prison
HMP HUNTERCOMBE,,01491 643 100,HMPPS,Switchboard,https://www.gov.uk/guidance/huntercombe-prison
HMP ISIS,,020 3356 4000,HMPPS,Switchboard,https://www.gov.uk/guidance/isis-prison
HMP ISLE OF WIGHT,,01983 634 000,HMPPS,Switchboard,https://www.gov.uk/guidance/isle-of-wight-prison
HMP LANCASTER FARMS,,01524 563 450,HMPPS,Switchboard,https://www.gov.uk/guidance/lancaster-farms-prison
HMP LEEDS,,0113 203 2600,HMPPS,Switchboard,https://www.gov.uk/guidance/leeds-prison
HMP LEICESTER,,01162 283 000,HMPPS,Switchboard,https://www.gov.uk/guidance/leicester-prison
HMP LEWES,,01273 785 100,HMPPS,Switchboard,https://www.gov.uk/guidance/lewes-prison
HMP LINCOLN,,01522 663 000,HMPPS,Switchboard,https://www.gov.uk/guidance/lincoln-prison
HMP LINDHOLME,,01302 524 700,HMPPS,Switchboard,https://www.gov.uk/guidance/lindholme-prison
HMP LITTLEHEY,,01480 335 000,HMPPS,Switchboard,https://www.gov.uk/guidance/littlehey-prison
HMP LIVERPOOL,,0151 530 4000,HMPPS,Switchboard,https://www.gov.uk/guidance/liverpool-prison
HMP LONG LARTIN,,01386 295 100,HMPPS,Switchboard,https://www.gov.uk/guidance/long-lartin-prison
HMP LOW NEWTON,,0300 303 0632,HMPPS,Switchboard,https://www.gov.uk/guidance/low-newton-prison
HMP LOWDHAM GRANGE,,01159 669 200,HMPPS,Switchboard,https://www.gov.uk/guidance/lowdham-grange-prison
HMP MAIDSTONE,,01622 775 300,HMPPS,Switchboard,https://www.gov.uk/guidance/maidstone-prison
HMP MANCHESTER,,0161 817 5600,HMPPS,Switchboard,https://www.gov.uk/guidance/manchester-prison
HMP MOORLAND,,01302 523 000,HMPPS,Switchboard,https://www.gov.uk/guidance/moorland-prison
HMP MORTON HALL,,01522 666 700,HMPPS,Switchboard,https://www.gov.uk/guidance/morton-hall-prison
HMP NEW HALL,,01924 803 000,HMPPS,Switchboard,https://www.gov.uk/guidance/new-hall-prison
HMP NORTHUMBERLAND,,01670 383100,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/northumberland-prison
HMP NORWICH,,01603 708 600,HMPPS,Switchboard,https://www.gov.uk/guidance/norwich-prison
HMP NOTTINGHAM,,0115 872 4000,HMPPS,Switchboard,https://www.gov.uk/guidance/nottingham-prison
HMP OAKWOOD,,01902 799 700,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/oakwood-prison
HMP PARC,,01656 300200,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/parc-prison-and-yoi
HMP PENTONVILLE,,020 7023 7000,HMPPS,Switchboard,https://www.gov.uk/guidance/pentonville-prison
HMP PETERBOROUGH,,01733 217500,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/peterborough-prison
HMP PORTLAND,,01305 715 600,HMPPS,Switchboard,https://www.gov.uk/guidance/portland-prison-and-young-offender-institution
HMP PRESTON,,01772 444 550,HMPPS,Switchboard,https://www.gov.uk/guidance/preston-prison
HMP RANBY,,01777 862 000,HMPPS,Switchboard,https://www.gov.uk/guidance/ranby-prison
HMP RISLEY,,01925 733 000,HMPPS,Switchboard,https://www.gov.uk/guidance/risley-prison
HMP ROCHESTER,,01634 803 100,HMPPS,Switchboard,https://www.gov.uk/guidance/rochester-prison
HMP RYE HILL,,01788 523300,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/rye-hill-prison
HMP SEND,,01483 471 000,HMPPS,Switchboard,https://www.gov.uk/guidance/send-prison
HMP STAFFORD,,01785 773 000,HMPPS,Switchboard,https://www.gov.uk/guidance/stafford-prison
HMP STOCKEN,,01780 795 100,HMPPS,Switchboard,https://www.gov.uk/guidance/stocken-prison
HMP STOKE HEATH,,01630 636 000,HMPPS,Switchboard,https://www.gov.uk/guidance/stoke-heath-prison
HMP STYAL,,01625 553 000,HMPPS,Switchboard,https://www.gov.uk/guidance/styal-prison
HMP SWALESIDE,,01795 804 100,HMPPS,Switchboard,https://www.gov.uk/guidance/swaleside-prison
HMP SWANSEA,,01792 485 300,HMPPS,Switchboard,https://www.gov.uk/guidance/swansea-prison
HMP SWINFEN HALL,,01543 484 000,HMPPS,Switchboard,https://www.gov.uk/guidance/swinfen-hall-prison
HMP THAMESIDE,,020 8317 9777,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/thameside-prison
HMP THE MOUNT,,01442 836 300,HMPPS,Switchboard,https://www.gov.uk/guidance/the-mount-prison
HMP THE VERNE,,01305 825 000,HMPPS,Switchboard,https://www.gov.uk/guidance/the-verne-prison
HMP USK,,01291 671 600,HMPPS,Switchboard,https://www.gov.uk/guidance/usk-prison
HMP WAKEFIELD,,01924 612 000,HMPPS,Switchboard,https://www.gov.uk/guidance/wakefield-prison
HMP WANDSWORTH,,020 8588 4000,HMPPS,Switchboard,https://www.gov.uk/guidance/wandsworth-prison
HMP WARREN HILL,,01394 633 400,HMPPS,Switchboard,https://www.gov.uk/guidance/warren-hill-prison
HMP WAYLAND,,01953 804 100,HMPPS,Switchboard,https://www.gov.uk/guidance/wayland-prison
HMP WEALSTUN,,01937 444 400,HMPPS,Switchboard,https://www.gov.uk/guidance/wealstun-prison
HMP WERRINGTON,,01782 463 300,HMPPS,Switchboard,https://www.gov.uk/guidance/werrington-yoi
HMP WETHERBY,,01937 544 385,HMPPS,Switchboard (manual),https://www.gov.uk/guidance/wetherby-yoi
HMP WHATTON,,01949 803 200,HMPPS,Switchboard,https://www.gov.uk/guidance/whatton-prison
HMP WHITEMOOR,,01354 602 350,HMPPS,Switchboard,https://www.gov.uk/guidance/whitemoor-prison
HMP WINCHESTER,,0333 207 2489,HMPPS,Switchboard,https://www.gov.uk/guidance/winchester-prison
HMP WOODHILL,,01908 722 000,HMPPS,Switchboard,https://www.gov.uk/guidance/woodhill-prison
HMP WORMWOOD SCRUBS,,020 8588 3200,HMPPS,Switchboard,https://www.gov.uk/guidance/wormwood-scrubs-prison
HMP WYMOTT,,01772 442 000,HMPPS,Switchboard,https://www.gov.uk/guidance/wymott-prison
CHETWYND,,01939 250351,HMPPS,Switchboard (manual),
Keevil,,01264 784380 (ATC Switchboard),HMPPS,Switchboard (manual),
